iter	RMSE	MAE	R2
0	359456.8244	223125.482	0.06379055383
1	347705.721	214819.4729	0.1240017769
2	336108.105	207782.7194	0.1814644936
3	325584.3335	200426.0151	0.2319198336
4	315687.77	193241.5279	0.2779037878
5	306131.8622	186955.2232	0.3209580285
6	297765.1998	180971.4158	0.3575676056
7	289275.6023	174899.7486	0.393678225
8	282126.1524	170488.2834	0.4232783641
9	273702.0225	164990.3069	0.4572053413
10	266176.5879	160564.5524	0.4866432706
11	258577.8911	155486.2656	0.5155350855
12	251697.0768	150881.5654	0.5409754689
13	246563.101	148151.8149	0.5595103389
14	241700.6941	145490.9374	0.5767125936
15	235966.071	141299.6087	0.5965602604
16	231087.2774	138815.6049	0.6130706942
17	225595.376	134925.9072	0.6312432832
18	220707.8256	131862.7135	0.6470485126
19	216106.8139	128903.2757	0.6616108157
20	211648.3618	125684.6172	0.675429253
21	207420.553	122836.7583	0.6882667497
22	203705.911	121086.8881	0.6993322728
23	200023.5866	118193.0466	0.7101041669
24	196651.0513	116727.7832	0.719797441
25	193214.3347	114785.0489	0.7295056238
26	189931.1748	112741.6329	0.738620176
27	186760.1589	110553.0864	0.7472751067
28	184192.2842	109471.2016	0.7541770538
29	181340.8276	107761.3027	0.761729246
30	178837.34	106685.9328	0.7682626931
31	176291.2207	104957.5546	0.7748142408
32	173038.3584	102928.2033	0.7830476669
33	170833.6585	102035.543	0.7885408728
34	168237.338	100767.9012	0.7949195185
35	165885.2336	99800.29234	0.8006138398
36	163853.4437	98977.29508	0.805468158
37	161596.6781	97400.78506	0.8107898586
38	160241.8098	96929.09504	0.8139493315
39	158302.9897	95909.39314	0.8184242752
40	156982.5137	95345.86719	0.8214408498
41	156059.8135	95081.31822	0.8235337247
42	155513.8044	95034.49537	0.8247663754
43	153487.1439	93706.19479	0.8293039145
44	152530.2699	93333.9525	0.8314255971
45	151231.2872	92736.20509	0.8342846076
46	150042.704	92244.13196	0.8368792099
47	149316.1315	92066.09371	0.8384551893
48	147966.4342	91479.73082	0.8413624593
49	147492.8381	91424.41284	0.8423763363
50	145407.8336	90054.93837	0.8468012717
51	144202.6613	89535.11085	0.8493302376
52	142980.5751	88997.2192	0.8518732031
53	142597.0363	88963.20392	0.8526668239
54	140511.7292	87590.87368	0.8569444508
55	139787.2419	87315.03108	0.8584158543
56	138757.3503	86794.77424	0.8604944299
57	138275.9617	86697.6384	0.8614607196
58	137248.7427	86200.68045	0.8635114243
59	136393.0334	85772.37585	0.8652080584
60	136053.0609	85696.77918	0.8658791842
61	135765.7915	85681.75169	0.8664449654
62	135260.1262	85524.7068	0.8674379753
63	134892.5079	85441.18382	0.8681575665
64	134183.3089	85075.06637	0.8695402486
