iter	Passed	Remaining
0	50	50505
1	53	26610
2	55	18603
3	58	14493
4	60	11940
5	61	10199
6	63	8954
7	64	7987
8	65	7223
9	66	6625
10	68	6142
11	70	5786
12	72	5532
13	74	5279
14	77	5074
15	78	4843
16	79	4625
17	81	4430
18	82	4253
19	83	4102
20	86	4017
21	87	3893
22	88	3767
23	90	3664
24	91	3584
25	93	3491
26	94	3406
27	95	3322
28	97	3262
29	99	3222
30	102	3188
31	103	3119
32	104	3057
33	105	3001
34	107	2971
35	109	2919
36	110	2868
37	112	2839
38	113	2802
39	116	2786
40	117	2745
41	118	2703
42	119	2661
43	121	2634
44	123	2615
45	124	2585
46	125	2552
47	127	2529
48	128	2499
49	130	2477
50	133	2486
51	134	2457
52	135	2427
53	137	2403
54	139	2391
55	140	2369
56	142	2356
57	143	2336
58	145	2324
59	151	2376
60	155	2396
61	159	2411
62	162	2422
63	166	2433
64	170	2452
65	172	2447
66	174	2432
67	178	2446
68	186	2511
69	188	2502
70	190	2489
71	191	2472
72	196	2500
73	200	2514
74	203	2509
75	204	2490
76	206	2470
77	207	2451
78	208	2425
79	208	2402
80	211	2394
81	213	2385
82	214	2370
83	215	2345
84	216	2328
85	217	2308
86	218	2294
87	219	2278
88	221	2268
89	222	2252
90	224	2237
91	226	2231
92	228	2225
93	229	2213
94	231	2205
95	232	2192
96	234	2180
97	235	2171
98	237	2164
99	239	2159
100	241	2151
101	243	2140
102	244	2129
103	245	2118
104	247	2108
105	249	2101
106	251	2096
107	252	2085
108	253	2074
109	255	2063
110	257	2059
111	259	2054
112	260	2043
113	262	2037
114	264	2032
115	265	2024
116	266	2014
117	268	2004
118	269	1994
119	272	1994
120	273	1989
121	274	1978
122	276	1968
123	277	1959
124	279	1955
125	280	1946
126	281	1937
127	283	1928
128	284	1923
129	286	1916
130	288	1916
131	290	1907
132	291	1898
133	292	1891
134	294	1886
135	295	1879
136	297	1872
137	298	1863
138	300	1859
139	302	1856
140	304	1855
141	305	1847
142	306	1839
143	308	1835
144	310	1832
145	311	1824
146	313	1817
147	314	1813
148	316	1807
149	318	1806
150	320	1802
151	321	1794
152	322	1786
153	324	1780
154	325	1776
155	327	1771
156	329	1766
157	330	1760
158	331	1754
159	333	1748
160	335	1750
161	337	1744
162	338	1736
163	339	1730
164	340	1724
165	342	1721
166	344	1718
167	345	1712
168	346	1705
169	348	1702
170	351	1703
171	352	1697
172	354	1692
173	355	1687
174	357	1684
175	358	1679
176	359	1673
177	361	1667
178	362	1663
179	365	1663
180	367	1662
181	368	1656
182	369	1650
183	371	1646
184	372	1641
185	374	1636
186	375	1631
187	376	1626
188	378	1623
189	380	1620
190	383	1626
191	385	1620
192	386	1616
193	387	1611
194	389	1607
195	390	1603
196	392	1600
197	394	1596
198	398	1602
199	399	1599
200	402	1600
201	406	1603
202	411	1615
203	416	1626
204	418	1623
205	420	1620
206	422	1619
207	428	1631
208	431	1631
209	439	1652
210	441	1650
211	443	1646
212	444	1644
213	446	1639
214	447	1634
215	449	1632
216	451	1628
217	453	1627
218	455	1623
219	456	1619
220	460	1621
221	463	1623
222	466	1624
223	467	1619
224	468	1614
225	470	1610
226	471	1606
227	473	1604
228	476	1603
229	477	1599
230	479	1594
231	480	1589
232	481	1584
233	482	1580
234	484	1576
235	485	1571
236	487	1570
237	490	1570
238	492	1567
239	493	1563
240	495	1559
241	496	1554
242	497	1551
243	499	1548
244	501	1545
245	503	1542
246	505	1540
247	506	1536
248	508	1532
249	509	1529
250	511	1525
251	513	1522
252	514	1518
253	516	1515
254	517	1511
255	518	1507
256	521	1508
257	523	1504
258	524	1499
259	525	1495
260	526	1491
261	528	1488
262	529	1484
263	531	1481
264	532	1477
265	533	1473
266	537	1475
267	538	1471
268	539	1467
269	541	1463
270	543	1462
271	545	1460
272	546	1456
273	548	1452
274	549	1448
275	551	1447
276	553	1444
277	555	1441
278	559	1445
279	561	1442
280	562	1439
281	563	1435
282	566	1436
283	568	1433
284	569	1429
285	570	1425
286	572	1421
287	574	1419
288	575	1415
289	576	1412
290	578	1409
291	580	1406
292	582	1406
293	584	1403
294	585	1399
295	586	1395
296	588	1392
297	590	1390
298	591	1387
299	593	1384
300	594	1381
301	596	1378
302	599	1379
303	601	1376
304	602	1372
305	603	1368
306	605	1367
307	607	1363
308	608	1361
309	610	1357
310	612	1357
311	614	1355
312	615	1351
313	617	1348
314	618	1345
315	620	1342
316	621	1339
317	623	1336
318	624	1333
319	625	1329
320	628	1328
321	630	1327
322	631	1323
323	632	1320
324	634	1317
325	636	1315
326	638	1313
327	639	1309
328	640	1306
329	641	1302
330	644	1303
331	646	1300
332	647	1297
333	648	1293
334	651	1293
335	652	1290
336	654	1287
337	655	1284
338	657	1281
339	659	1280
340	661	1277
341	662	1274
342	663	1270
343	664	1267
344	666	1264
345	667	1262
346	669	1259
347	671	1257
348	672	1254
349	675	1254
350	676	1251
351	678	1248
352	679	1244
353	680	1242
354	682	1240
355	684	1237
356	686	1235
357	687	1233
358	689	1231
359	692	1230
360	693	1227
361	694	1224
362	696	1221
363	697	1219
364	699	1216
365	700	1214
366	702	1210
367	705	1211
368	707	1209
369	708	1206
370	709	1202
371	711	1201
372	713	1199
373	715	1196
374	716	1193
375	717	1190
376	719	1188
377	721	1186
378	722	1184
379	723	1181
380	725	1177
381	726	1175
382	727	1172
383	729	1170
384	730	1167
385	732	1164
386	733	1162
387	736	1161
388	737	1158
389	738	1155
390	739	1152
391	741	1149
392	743	1148
393	745	1146
394	746	1143
395	747	1140
396	749	1138
397	752	1138
398	753	1135
399	754	1132
400	755	1129
401	757	1126
402	759	1124
403	760	1122
404	761	1119
405	763	1117
406	765	1115
407	768	1114
408	769	1111
409	770	1109
410	771	1106
411	773	1103
412	775	1101
413	776	1098
414	778	1097
415	781	1096
416	783	1095
417	784	1092
418	785	1089
419	787	1086
420	789	1086
421	791	1083
422	793	1081
423	794	1079
424	795	1076
425	798	1076
426	800	1073
427	801	1070
428	802	1067
429	803	1065
430	805	1063
431	807	1061
432	808	1059
433	809	1056
434	811	1053
435	818	1058
436	820	1056
437	824	1057
438	827	1056
439	831	1058
440	835	1059
441	838	1059
442	841	1058
443	844	1057
444	847	1057
445	849	1055
446	850	1052
447	852	1049
448	853	1047
449	854	1044
450	856	1042
451	857	1040
452	860	1038
453	862	1037
454	863	1034
455	865	1032
456	868	1031
457	871	1031
458	874	1030
459	875	1028
